sps,test,model,score,Cutoff,Sensitivity,Specificity
Cfra,SR,GLM,0.62,978,95.92,98.94
Cfra,SR,ANN,0.68,983,93.47,99.18
Cfra,SR,RF,0.87,986,85.71,99.75
Cfra,SR,GAM,0.65,980,95.1,99.1
Cfra,ACCURACY,GLM,0.99,977,96.33,98.93
Cfra,ACCURACY,ANN,0.99,983,93.47,99.18
Cfra,ACCURACY,RF,1,764,93.88,99.67
Cfra,ACCURACY,GAM,0.99,980,95.1,99.1
Cfra,BIAS,GLM,0.46,979,95.51,98.94
Cfra,BIAS,ANN,0.62,983,93.47,99.18
Cfra,BIAS,RF,0.99,974,86.53,99.74
Cfra,BIAS,GAM,0.55,982,94.69,99.1
Cfra,POD,GLM,1,405,99.59,98.2
Cfra,POD,ANN,1,182,100,78.21
Cfra,POD,RF,1,20,99.59,58.95
Cfra,POD,GAM,1,178,100,39.48
Cfra,CSI,GLM,0.6,977,96.33,98.93
Cfra,CSI,ANN,0.65,983,93.47,99.18
Cfra,CSI,RF,0.79,732,94.29,99.66
Cfra,CSI,GAM,0.63,929,97.55,99.03
Cfra,ETS,GLM,0.6,977,96.33,98.93
Cfra,ETS,ANN,0.64,983,93.47,99.18
Cfra,ETS,RF,0.79,732,94.29,99.66
Cfra,ETS,GAM,0.63,929,97.55,99.03
Cint,KAPPA,GLM,0.97,750,99.1,98.36
Cint,KAPPA,ANN,0.97,441,99.54,98.42
Cint,KAPPA,RF,0.98,687,99.23,99.35
Cint,KAPPA,GAM,0.98,914,98.86,98.93
Cint,TSS,GLM,0.97,568,99.36,98.14
Cint,TSS,ANN,0.98,441,99.54,98.42
Cint,TSS,RF,0.99,200,99.69,99
Cint,TSS,GAM,0.98,593,99.32,98.58
Cint,ROC,GLM,1,NA,NA,NA
Cint,ROC,ANN,1,NA,NA,NA
Cint,ROC,RF,1,NA,NA,NA
Cint,ROC,GAM,1,NA,NA,NA
Cint,FAR,GLM,0.98,979,94.97,99.15
Cint,FAR,ANN,0.98,982,94.89,99.13
Cint,FAR,RF,1,990,97.33,99.76
Cint,FAR,GAM,0.99,982,95.26,99.35
Cint,SR,GLM,0.98,979,94.97,99.15
Cint,SR,ANN,0.98,982,94.89,99.13
